Advertisement Title,Price,Type,Surface,Location,Energy Class,Broker
"Quadrilocale in vendita a Cusago - Milano. € 298.000, 128 Mq - Tecnocasa.it - 60828327",€ 298.000,4 locali,128 Mq,"Cusago, Via Bergamo",F,Studio Cusago Snc
"Trilocale in vendita a Legnano - Milano. € 107.000, 80 Mq - Tecnocasa.it - 60713566",€ 107.000,3 locali,80 Mq,"Legnano, Via Padre Reginaldo Giuliani",F,Studio Legnano D.I.
"Trilocale in vendita a Mediglia, Mombretto - Milano. € 210.000, 80 Mq - Tecnocasa.it - 60791467",€ 210.000,3 locali,80 Mq,"Mediglia, Via Melozzo da Forlì - Mombretto",E,Intermed Sas
"Loft in vendita a Milano, Maciachini - Milano. € 310.000, 74 Mq - Tecnocasa.it - 60819442",€ 310.000,3 locali,74 Mq,"Milano, Via Livigno - Maciachini",F,Studio Maciachini Sas
"Bilocale in vendita a Milano, Maciachini - Milano. € 209.000, 51 Mq - Tecnocasa.it - 60821032",€ 209.000,2 locali,51 Mq,"Milano, Via carlo imbonati - Maciachini",F,Studio Maciachini Sas
"Quadrilocale in vendita a Pantigliate - Milano. € 250.000, 105 Mq - Tecnocasa.it - 60813587",€ 250.000,4 locali,105 Mq,"Pantigliate, Via Armellini",D,Intermed Sas
"Bilocale in vendita a Peschiera Borromeo, Bettola - Milano. € 170.000, 60 Mq - Tecnocasa.it - 60825356",€ 170.000,2 locali,60 Mq,"Peschiera Borromeo, Via Salvatore Quasimodo - Bettola",D,Studio Peschiera Borromeo Snc
"Bilocale in vendita a Peschiera Borromeo, Bellaria - Milano. € 205.000, 81 Mq - Tecnocasa.it - 60826832",€ 205.000,2 locali,81 Mq,"Peschiera Borromeo, Via Oriana Fallaci - Bellaria","",Studio Peschiera Borromeo Snc
"Trilocale in vendita a Vignate - Milano. € 210.000, 95 Mq - Tecnocasa.it - 60812224",€ 210.000,3 locali,95 Mq,"Vignate, Via Strettone",F,Intermed Sas
"Villa a schiera in vendita a Cassina De' Pecchi - Milano. € 346.000, 168 Mq - Tecnocasa.it - 60829612",€ 346.000,4 locali,168 Mq,Cassina De' Pecchi,G,Tecnomed Sas
